CVE_VEND,FECHAELAB
1.0,2022-03-23 17:40:06.637
1.0,2022-03-23 17:43:33.857
1.0,2022-03-24 09:12:55.883
1.0,2022-03-25 07:58:51.287
1.0,2022-03-28 11:12:11.400
1.0,2022-03-28 11:42:06.530
1.0,2022-03-29 17:41:19.567
1.0,2022-03-30 10:25:56.473
1.0,2022-03-30 14:40:41.597
1.0,2022-03-31 09:06:17.047
1.0,2022-03-31 09:10:04.600
1.0,2022-03-31 14:46:10.940
1.0,2022-03-31 14:52:53.997
1.0,2022-03-31 17:56:46.350
1.0,2022-04-05 09:29:09.080
1.0,2022-04-05 09:31:32.797
1.0,2022-04-05 15:31:25.207
1.0,2022-04-07 10:57:58.360
1.0,2022-04-07 11:24:07.847
1.0,2022-04-07 17:28:50.310
1.0,2022-04-08 12:32:20.077
1.0,2022-04-13 10:51:02.847
1.0,2022-04-13 17:27:49.910
1.0,2022-04-18 14:17:28.287
1.0,2022-04-21 16:01:24.323
1.0,2022-04-22 12:20:14.757
1.0,2022-04-25 13:12:54.370
1.0,2022-04-25 17:44:13.547
1.0,2022-04-26 10:09:28.363
1.0,2022-04-26 12:55:41.220
1.0,2022-04-27 13:57:42.667
1.0,2022-04-28 14:29:08.367
1.0,2022-04-28 17:33:25.290
1.0,2022-04-29 17:36:07.523
1.0,2022-04-29 17:38:24.757
1.0,2022-05-04 11:59:33.457
1.0,2022-05-04 12:23:19.117
1.0,2022-05-05 07:35:57.283
1.0,2022-05-05 13:43:43.307
1.0,2022-05-05 14:10:02.987
1.0,2022-05-06 10:04:19.917
1.0,2022-05-09 16:03:38.030
1.0,2022-05-09 16:09:17.317
1.0,2022-05-11 15:54:57.450
1.0,2022-05-11 15:59:10.823
1.0,2022-05-12 11:46:27.590
1.0,2022-05-12 11:53:38.877
1.0,2022-05-13 14:45:08.060
1.0,2022-05-13 15:45:19.280
1.0,2022-05-17 17:03:48.737
1.0,2022-05-17 17:06:02.237
1.0,2022-05-17 17:07:27.293
1.0,2022-05-17 17:08:58.680
1.0,2022-05-18 09:06:56.460
1.0,2022-05-20 11:59:07.693
1.0,2022-05-20 14:35:15.463
1.0,2022-05-20 14:39:49.827
1.0,2022-05-23 13:55:27.487
1.0,2022-05-23 14:02:25.787
1.0,2022-05-26 09:30:48.790
1.0,2022-05-26 09:35:11.120
1.0,2022-05-26 09:37:00.400
1.0,2022-05-26 09:38:47.583
1.0,2022-05-31 16:28:12.013
1.0,2022-05-31 16:31:44.357
1.0,2022-05-31 16:34:27.333
1.0,2022-06-01 16:51:49.417
1.0,2022-06-01 17:36:50.830
1.0,2022-06-02 07:57:28.527
1.0,2022-06-02 14:26:22.433
1.0,2022-06-03 17:20:45.937
1.0,2022-06-09 10:45:52.047
1.0,2022-06-10 10:01:33.287
1.0,2022-06-10 17:40:37.233
1.0,2022-06-10 17:44:34.023
1.0,2022-06-10 17:48:05.833
1.0,2022-06-13 14:10:04.157
1.0,2022-06-14 13:05:03.280
1.0,2022-06-16 09:55:04.480
1.0,2022-06-17 10:14:00.437
1.0,2022-06-20 14:30:57.117
1.0,2022-06-21 07:37:50.897
1.0,2022-06-24 12:55:59.567
1.0,2022-06-28 14:30:10.447
1.0,2022-06-29 13:36:23.500
1.0,2022-07-04 08:34:21.897
1.0,2022-07-04 08:45:16.413
1.0,2022-07-04 08:49:04.467
1.0,2022-07-04 09:05:18.557
1.0,2022-07-04 10:22:10.987
1.0,2022-07-04 13:35:36.653
1.0,2022-07-05 12:05:46.920
1.0,2022-07-07 09:50:53.953
1.0,2022-07-07 12:30:10.980
1.0,2022-07-07 13:29:31.677
1.0,2022-07-07 14:21:47.513
1.0,2022-07-07 14:25:38.507
1.0,2022-07-07 14:27:56.727
1.0,2022-07-07 14:30:23.613
1.0,2022-07-07 14:40:34.487
1.0,2022-07-07 14:42:59.913
1.0,2022-07-07 15:24:32.527
1.0,2022-07-07 16:10:58.060
1.0,2022-07-07 16:54:09.093
1.0,2022-07-08 08:27:49.010
1.0,2022-07-08 10:17:45.830
1.0,2022-07-08 12:26:37.927
1.0,2022-07-08 15:17:50.030
1.0,2022-07-08 16:15:19.967
1.0,2022-07-08 16:31:11.660
1.0,2022-07-08 17:34:15.253
1.0,2022-07-11 17:09:39.473
1.0,2022-07-12 12:45:19.643
1.0,2022-07-12 12:48:41.887
1.0,2022-07-12 16:04:19.507
1.0,2022-07-15 08:50:14.800
1.0,2022-07-15 08:52:48.467
1.0,2022-07-18 09:52:26.053
1.0,2022-07-18 13:51:55.163
1.0,2022-07-18 15:17:17.183
1.0,2022-07-21 13:21:12.310
1.0,2022-07-21 13:46:16.387
1.0,2022-07-21 16:52:58.837
1.0,2022-07-21 17:14:43.317
1.0,2022-07-21 17:22:37.387
1.0,2022-07-21 17:32:45.673
1.0,2022-07-22 10:19:52.977
1.0,2022-07-22 11:48:16.043
1.0,2022-07-22 13:08:23.773
1.0,2022-07-25 10:40:16.853
1.0,2022-07-25 15:05:54.997
1.0,2022-07-25 16:59:35.327
1.0,2022-07-25 17:37:21.903
1.0,2022-07-25 17:41:34.917
1.0,2022-07-26 08:52:29.433
1.0,2022-07-26 11:25:18.393
1.0,2022-07-26 12:35:54.927
1.0,2022-07-26 12:38:22.500
1.0,2022-07-26 14:25:34.453
1.0,2022-07-26 15:00:16.787
1.0,2022-07-26 15:09:22.227
1.0,2022-07-26 16:01:26.373
1.0,2022-07-27 13:30:32.957
1.0,2022-07-29 09:19:47.833
1.0,2022-07-29 09:28:24.753
1.0,2022-07-29 09:30:43.523
1.0,2022-07-29 11:41:07.723
1.0,2022-07-29 15:48:26.290
1.0,2022-07-29 15:52:25.590
1.0,2022-07-29 15:59:18.307
1.0,2022-07-29 16:01:25.497
1.0,2022-07-29 16:05:45.900
1.0,2022-07-29 16:37:38.213
1.0,2022-08-03 09:58:20.137
1.0,2022-08-08 13:27:29.400
1.0,2022-08-08 13:31:38.797
1.0,2022-08-09 15:00:43.467
1.0,2022-08-10 10:49:14.637
1.0,2022-08-10 11:21:32.123
1.0,2022-08-10 11:31:47.873
1.0,2022-08-10 11:58:48.403
1.0,2022-08-10 13:37:35.640
1.0,2022-08-10 13:42:37.790
1.0,2022-08-10 13:49:23.647
1.0,2022-08-10 13:54:20.410
1.0,2022-08-11 10:08:29.953
1.0,2022-08-12 10:08:21.873
